user,location,sound_id,tag
user1,greenpark,1,"['music', 'continuous', 'old-fashioned', 'walker', 'rhythmic', 'blended']"
user1,greenpark,2,"['music', 'medium-loud', 'getting-louder', 'clear', 'passion', 'chaotic', 'nice']"
user1,greenpark,3,"['voice', 'dynamic', 'boring', 'moving', 'disappearing']"
user1,greenpark,4,"['birds', 'clear', 'standing-out', 'beautiful', 'varying', 'joyful']"
user2,greenpark,1,"['voice', 'medium-loud', 'dynamic', 'isolated', 'beautiful']"
user2,greenpark,2,"['voice', 'continuous', 'clear', 'isolated', 'no-emotion']"
user2,greenpark,3,"['voice', 'varying', 'moving', 'standing-out', 'uninteresting']"
user2,greenpark,4,"['continuous', 'voice', 'noisy', 'standing-out', 'annoying']"
user4,greenpark,1,"['voice', 'noisy', 'moving', 'medium-loud']"
user4,greenpark,2,"['rhythmic', 'soft', 'varying', 'nice']"
user4,greenpark,3,"['clear', 'moving', 'nice', 'soft']"
user4,greenpark,4,"['noisy', 'moving', 'traffic', 'vehicle and airplane noise']"
user5,greenpark,1,"['leaf', 'nature', 'calm']"
user5,greenpark,3,"['autumn', 'moving', 'beautiful']"
user7,greenpark,1,"['soft', 'peacefully', 'leaves']"
user7,greenpark,2,"['warming', 'soft']"
user7,greenpark,3,"['joyful', 'cheerful']"
user7,greenpark,4,"['birds', 'calming', 'beautiful', 'melodic']"
user2,sciencepark,1,"['voice', 'continuous', 'controlled', 'isolated', 'uninteresting']"
user2,sciencepark,2,"['blended', 'annoying', 'chaotic', 'continuous', 'voice']"
user2,sciencepark,3,"['nice', 'blended', 'noisy', 'medium-loud', 'voice']"
user2,sciencepark,4,"['blended', 'nice', 'rhythmic', 'voice', 'varying']"
user4,sciencepark,1,"['medium-loud', 'continuous', 'noisy', 'blended', 'boring']"
user4,sciencepark,2,"['traffic', 'varying', 'controlled', 'moving', 'no-emotion']"
user4,sciencepark,3,"['medium-loud', 'continuous', 'chaotic', 'blended', 'interesting']"
user4,sciencepark,4,"['medium-loud', 'varying', 'controlled', 'dynamic', 'standing-out', 'interesting']"
user5,sciencepark,1,"['traffic', 'chaotic', 'busy', 'stress']"
user5,sciencepark,2,"['lunch', 'food', 'harmonious', 'noisy']"
user5,sciencepark,3,"['continuous', 'blended', 'no-emotion', 'air condition', 'background']"
user5,sciencepark,4,"['chattering', 'people', 'active']"
user6,sciencepark,1,['dynamic']
user6,sciencepark,3,['noisy']
user6,sciencepark,4,['clear']
user7,sciencepark,1,"['annoying', 'noisy', 'medium-loud']"
user7,sciencepark,2,"['traffic', 'varying', 'uninteresting', 'boring']"
user7,sciencepark,3,"['annoying', 'boring', 'loud', 'noisy', 'chaotic']"
user7,sciencepark,4,"['loud', 'voice', 'stressing', 'noisy', 'chaotic']"
